cycle_second,cycle_phase,active_mode,target_pressure_bar,load_pressure_bar,pump_rpm,oil_temperature_c,relief_set_pressure_bar,flow_rate_l_min,suction_velocity_m_s,pressure_velocity_m_s,valve_pa_velocity_m_s,valve_pb_velocity_m_s,valve_at_velocity_m_s,valve_bt_velocity_m_s,return_velocity_m_s,relief_velocity_m_s,pump_in_pressure_bar,pump_out_pressure_bar,valve_p_pressure_bar,valve_a_pressure_bar,valve_b_pressure_bar,valve_t_pressure_bar,relief_open
0,하강,downstroke,170.3,170.3000,1605,40.000,250,18.5880,0.8944,6.1633,6.1633,0.0000,0.0000,6.1633,1.5408,0.0000,-0.0934,183.8727,183.1155,172.9881,10.1445,0.0171,no
1,하강,downstroke,174.967,174.9670,1638,40.002,250,20.3995,0.9816,6.7639,6.7639,0.0000,0.0000,6.7639,1.6910,0.0000,-0.0949,189.8054,188.9588,177.9114,11.0704,0.0231,no
2,하강,downstroke,179.633,179.6330,1672,40.003,250,22.3249,1.0743,7.4023,7.4023,0.0000,0.0000,7.4023,1.8506,0.0000,-0.0965,195.8015,194.8567,182.8506,12.0356,0.0295,no
3,하강,downstroke,184.3,184.3000,1705,40.004,250,24.1423,1.1617,8.0049,8.0049,0.0000,0.0000,8.0049,2.0012,0.0000,-0.0980,201.6484,200.6080,187.7760,12.8676,0.0356,no
4,하강,downstroke,188.967,188.9670,1738,40.006,250,25.9618,1.2493,8.6082,8.6082,0.0000,0.0000,8.6082,2.1521,0.0000,-0.0996,207.4557,206.3169,192.7023,13.6563,0.0417,no
5,하강,downstroke,193.633,193.6330,1772,40.008,250,27.8860,1.3419,9.2463,9.2463,0.0000,0.0000,9.2463,2.3116,0.0000,-0.1013,213.3166,212.0706,197.6431,14.4757,0.0482,no
6,하강,downstroke,198.3,198.3000,1805,40.009,250,29.7048,1.4294,9.8493,9.8493,0.0000,0.0000,9.8493,2.4623,0.0000,-0.1030,219.0453,217.6950,202.5706,15.1788,0.0544,no
7,가압유지,downstroke,225.3,92.4998,1108,40.010,250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0801,92.5925,92.5925,92.5925,-0.0422,-0.0422,no
8,상승,upstroke,125.3,125.3000,1404,40.012,250,18.4160,0.8862,6.1062,0.0000,6.1062,6.1062,0.0000,1.5266,0.0000,-0.0933,138.4108,137.6622,9.9574,127.7213,0.0165,no
9,상승,upstroke,127.9,127.9000,1444,40.014,250,21.3563,1.0277,7.0812,0.0000,7.0812,7.0812,0.0000,1.7703,0.0000,-0.0957,143.4573,142.5625,11.8898,130.6989,0.0262,no
10,상승,upstroke,130.5,130.5000,1484,40.015,250,24.2159,1.1653,8.0293,0.0000,8.0293,8.0293,0.0000,2.0073,0.0000,-0.0981,148.3393,147.2952,13.6633,133.6677,0.0358,no
11,상승,upstroke,133.1,133.1000,1524,40.016,250,27.0133,1.2999,8.9569,0.0000,8.9569,8.9569,0.0000,2.2392,0.0000,-0.1006,153.0685,151.8717,15.2869,136.6300,0.0452,no
12,상승,upstroke,135.7,135.7000,1564,40.018,250,29.7595,1.4320,9.8674,0.0000,9.8674,9.8674,0.0000,2.4669,0.0000,-0.1030,157.6566,156.3033,16.7710,139.5870,0.0546,no
13,상승,upstroke,138.3,138.3000,1604,40.020,250,32.4617,1.5620,10.7634,0.0000,10.7634,10.7634,0.0000,2.6909,0.0000,-0.1056,162.1149,160.6015,18.1259,142.5396,0.0639,no
