"timestamp","cycle_id","cycle_second","total_cycle_time_s","cycle_phase","active_mode","Press_target_pressure_bar_g","Press_target_chamber","target_pressure_error_bar","load_pressure_bar_g","pump_rpm","pump_rated_rpm","pump_speed_percent","V_DIR_PA_opening_percent","V_DIR_PB_opening_percent","V_DIR_AT_opening_percent","V_DIR_BT_opening_percent","V_RELIEF_opening_percent","exit_code","solver_warning","contains_inf_or_nan","calculated_flow_rate_L_min","calculated_flow_rate_m3_h","C_SUCTION_velocity_m_s","C_PRESSURE_velocity_m_s","V_DIR_PA_velocity_m_s","V_DIR_PB_velocity_m_s","C_A_LINE_velocity_m_s","C_B_LINE_velocity_m_s","V_DIR_BT_velocity_m_s","V_DIR_AT_velocity_m_s","C_RETURN_velocity_m_s","V_RELIEF_velocity_m_s","C_RELIEF_velocity_m_s","max_active_velocity_m_s","pump_head_m","pump_delta_pressure_bar","hydraulic_power_kW","N_PUMP_IN_pressure_bar_g","N_PUMP_OUT_pressure_bar_g","N_VALVE_P_pressure_bar_g","N_VALVE_A_pressure_bar_g","N_VALVE_B_pressure_bar_g","N_VALVE_T_pressure_bar_g","N_CYL_CAP_pressure_bar_g","N_CYL_ROD_pressure_bar_g","C_SUCTION_pressure_loss_bar","C_PRESSURE_pressure_loss_bar","C_A_LINE_pressure_loss_bar","C_B_LINE_pressure_loss_bar","C_RETURN_pressure_loss_bar","V_DIR_PA_pressure_loss_bar","V_DIR_PB_pressure_loss_bar","V_DIR_AT_pressure_loss_bar","V_DIR_BT_pressure_loss_bar","V_RELIEF_pressure_loss_bar","V_DIR_PA_Kv_effective_m3_h","V_DIR_PB_Kv_effective_m3_h","V_DIR_AT_Kv_effective_m3_h","V_DIR_BT_Kv_effective_m3_h","V_RELIEF_Kv_effective_m3_h","C_SUCTION_direction","C_PRESSURE_direction","C_A_LINE_direction","C_B_LINE_direction","C_RETURN_direction","relief_open","input_note"
"2026-07-09 13:00:00","1","0","14","하강","downstroke","170.3","cap","0","170.3000","1605","1800","89.17","65","0","0","65","0","0","no","no","18.5880","1.1153","0.8944","6.1633","6.1633","0.0000","6.1633","6.1633","6.1633","0.0000","1.5408","0.0000","0.0000","6.1633","2181.3167","183.9661","5.6993","-0.0934","183.8727","183.1155","172.9881","10.1445","0.0171","170.3000","12.4030","0.0133","0.7572","2.5954","2.3513","0.0592","10.1274","0.0000","0.0000","10.1274","0.0000","0.3250","0.0000","0.0000","0.3250","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","forward(N_VALVE_A->N_CYL_CAP)","reverse(N_CYL_ROD->N_VALVE_B)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_downstroke_input"
"2026-07-09 13:00:01","1","1","14","하강","downstroke","174.967","cap","0","174.9670","1638","1800","91","68.3","0","0","68.3","0","0","no","no","20.3995","1.2240","0.9816","6.7639","6.7639","0.0000","6.7639","6.7639","6.7639","0.0000","1.6910","0.0000","0.0000","6.7639","2251.6795","189.9003","6.4565","-0.0949","189.8054","188.9588","177.9114","11.0704","0.0231","174.9670","13.5615","0.0148","0.8467","2.8516","2.5838","0.0652","11.0474","0.0000","0.0000","11.0474","0.0000","0.3415","0.0000","0.0000","0.3415","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","forward(N_VALVE_A->N_CYL_CAP)","reverse(N_CYL_ROD->N_VALVE_B)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_downstroke_input"
"2026-07-09 13:00:02","1","2","14","하강","downstroke","179.633","cap","0","179.6330","1672","1800","92.89","71.7","0","0","71.7","0","0","no","no","22.3249","1.3395","1.0743","7.4023","7.4023","0.0000","7.4023","7.4023","7.4023","0.0000","1.8506","0.0000","0.0000","7.4023","2322.7952","195.8980","7.289","-0.0965","195.8015","194.8567","182.8506","12.0356","0.0295","179.6330","14.7745","0.0164","0.9448","3.1248","2.8317","0.0716","12.0061","0.0000","0.0000","12.0061","0.0000","0.3585","0.0000","0.0000","0.3585","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","forward(N_VALVE_A->N_CYL_CAP)","reverse(N_CYL_ROD->N_VALVE_B)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_downstroke_input"
"2026-07-09 13:00:03","1","3","14","하강","downstroke","184.3","cap","0","184.3000","1705","1800","94.72","75","0","0","75","0","0","no","no","24.1423","1.4485","1.1617","8.0049","8.0049","0.0000","8.0049","8.0049","8.0049","0.0000","2.0012","0.0000","0.0000","8.0049","2392.1409","201.7464","8.1177","-0.0980","201.6484","200.6080","187.7760","12.8676","0.0356","184.3000","15.8411","0.0179","1.0404","3.3832","3.0663","0.0777","12.8320","0.0000","0.0000","12.8320","0.0000","0.3750","0.0000","0.0000","0.3750","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","forward(N_VALVE_A->N_CYL_CAP)","reverse(N_CYL_ROD->N_VALVE_B)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_downstroke_input"
"2026-07-09 13:00:04","1","4","14","하강","downstroke","188.967","cap","0","188.9670","1738","1800","96.56","78.3","0","0","78.3","0","0","no","no","25.9618","1.5577","1.2493","8.6082","8.6082","0.0000","8.6082","8.6082","8.6082","0.0000","2.1521","0.0000","0.0000","8.6082","2461.0182","207.5554","8.9809","-0.0996","207.4557","206.3169","192.7023","13.6563","0.0417","188.9670","16.8652","0.0195","1.1389","3.6425","3.3017","0.0839","13.6146","0.0000","0.0000","13.6146","0.0000","0.3915","0.0000","0.0000","0.3915","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","forward(N_VALVE_A->N_CYL_CAP)","reverse(N_CYL_ROD->N_VALVE_B)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_downstroke_input"
"2026-07-09 13:00:05","1","5","14","하강","downstroke","193.633","cap","0","193.6330","1772","1800","98.44","81.7","0","0","81.7","0","0","no","no","27.8860","1.6732","1.3419","9.2463","9.2463","0.0000","9.2463","9.2463","9.2463","0.0000","2.3116","0.0000","0.0000","9.2463","2530.5324","213.4180","9.919","-0.1013","213.3166","212.0706","197.6431","14.4757","0.0482","193.6330","17.9342","0.0212","1.2461","3.9173","3.5513","0.0904","14.4275","0.0000","0.0000","14.4275","0.0000","0.4085","0.0000","0.0000","0.4085","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","forward(N_VALVE_A->N_CYL_CAP)","reverse(N_CYL_ROD->N_VALVE_B)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_downstroke_input"
"2026-07-09 13:00:06","1","6","14","하강","downstroke","198.3","cap","0","198.3000","1805","1800","100.28","85","0","0","85","0","0","no","no","29.7048","1.7823","1.4294","9.8493","9.8493","0.0000","9.8493","9.8493","9.8493","0.0000","2.4623","0.0000","0.0000","9.8493","2598.4775","219.1483","10.8496","-0.1030","219.0453","217.6950","202.5706","15.1788","0.0544","198.3000","18.8740","0.0229","1.3503","4.1779","3.7879","0.0966","15.1244","0.0000","0.0000","15.1244","0.0000","0.4250","0.0000","0.0000","0.4250","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","forward(N_VALVE_A->N_CYL_CAP)","reverse(N_CYL_ROD->N_VALVE_B)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_downstroke_input"
"2026-07-09 13:00:07","1","7","14","가압유지","downstroke","225.3","cap","132.8002","92.4998","1108","1800","61.56","20","0","0","20","0","0","no","no","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","1098.8351","92.6727","0","-0.0801","92.5925","92.5925","92.5925","-0.0422","-0.0422","92.4998","-0.1349","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1000","0.0000","0.0000","0.1000","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","forward(N_VALVE_A->N_CYL_CAP)","reverse(N_CYL_ROD->N_VALVE_B)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_pressure_hold_input"
"2026-07-09 13:00:08","1","8","14","상승","upstroke","125.3","rod","0","125.3000","1404","1800","78","0","65","65","0","0","0","no","no","18.4160","1.1050","0.8862","6.1062","0.0000","6.1062","6.1062","6.1062","0.0000","6.1062","1.5266","0.0000","0.0000","6.1062","1642.2662","138.5041","4.2512","-0.0933","138.4108","137.6622","9.9574","127.7213","0.0165","12.4349","125.3000","0.0131","0.7486","2.5703","2.3285","0.0587","0.0000","9.9409","9.9409","0.0000","0.0000","0.0000","0.3250","0.3250","0.0000","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","reverse(N_CYL_CAP->N_VALVE_A)","forward(N_VALVE_B->N_CYL_ROD)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_upstroke_input"
"2026-07-09 13:00:09","1","9","14","상승","upstroke","127.9","rod","0","127.9000","1444","1800","80.22","0","69","69","0","0","0","no","no","21.3563","1.2814","1.0277","7.0812","0.0000","7.0812","7.0812","7.0812","0.0000","7.0812","1.7703","0.0000","0.0000","7.0812","1702.1319","143.5530","5.1096","-0.0957","143.4573","142.5625","11.8898","130.6989","0.0262","14.7835","127.9000","0.0156","0.8948","2.9864","2.7061","0.0684","0.0000","11.8636","11.8636","0.0000","0.0000","0.0000","0.3450","0.3450","0.0000","0.0000","forward(N_TANK_SUCTION->N_PUMP_IN)","forward(N_PUMP_OUT->N_VALVE_P)","reverse(N_CYL_CAP->N_VALVE_A)","forward(N_VALVE_B->N_CYL_ROD)","forward(N_VALVE_T->N_TANK_RETURN)","no","final_normal_upstroke_input"
