category,parameter,realtime,reason
System,active_mode,yes,downstroke upstroke relief 등 현재 작동 모드
Solver,flow_search_min_L_min,no,유량 해를 찾는 최소 탐색 범위 L/min
Solver,flow_search_max_L_min,no,유량 해를 찾는 최대 탐색 범위 L/min
Fluid,name,no,유압유 종류 설정값
Fluid,model,no,비압축성 유체 모델 설정값
Fluid,compressibility,no,현재 solver는 비압축성 가정
Fluid,density_kg_m3,no,ISO VG46 기준 밀도 설정값
Fluid,viscosity_pa_s,no,ISO VG46 40C 기준 동점성계수 설정값
Fluid,temperature_c,yes,현재 유압유 온도 입력값이며 점도 보정에 사용
Fluid,reference_temperature_c,no,점도 보정 기준 온도
Fluid,reference_viscosity_pa_s,no,점도 보정 기준 동점성계수
Fluid,gravity_m_s2,no,중력가속도 설정값
Node,id,no,노드 식별자
Node,name,no,도면 입력 지점 이름
Node,type,no,노드 역할
Node,elevation_m,no,노드 고도
Node,pressure_bar_g,yes,경계조건 또는 센서 압력 입력값
Cell,id,no,셀 식별자
Cell,type,no,pipe pump valve 등 셀 종류
Cell,line_type,no,흡입 압력 A/B 리턴 릴리프 등 라인 역할
Cell,from,no,셀 시작 노드
Cell,to,no,셀 끝 노드
Cell,length_m,no,파이프 셀 길이
Cell,diameter_m,no,파이프/밸브 셀 내경
Cell,roughness_m,no,파이프 조도
Cell,local_loss_k,no,국부 손실계수
Cell,bend_count,no,굴곡 개수
Cell,allow_reverse_flow,no,A/B 라인처럼 모드별 역방향 흐름을 허용하는지 여부
Cell,opening_percent,yes,밸브 개도율
Cell,kv_max_m3_h,no,밸브 완전개방 기준 최대 유량계수 Kv m3/h
Cell,is_running,yes,펌프 운전 상태
Cell,rpm,yes,펌프 회전수
Cell,rated_rpm,no,펌프 Q-H 곡선 기준 회전수
Cell,pump_head_shutoff_m,no,펌프 차단 양정 모델값
Cell,pump_head_quadratic_coeff,no,펌프 Q-H 곡선 계수
Cell,set_pressure_bar_g,yes,릴리프 밸브 설정 압력
Mode,supply_path,no,작동 모드별 공급 경로 셀 목록
Mode,return_path,no,작동 모드별 복귀 경로 셀 목록
Mode,supply_start_node,no,공급 경로 시작 노드
Mode,load_node,no,공급 경로 목표 부하 노드
Mode,return_start_node,no,복귀 경로 시작 노드
Mode,return_end_node,no,복귀 경로 끝 노드
