category,parameter,realtime,reason
Program,load_status,yes,network.json 로드 성공 또는 실패 메시지
Program,exit_code,yes,정상 종료 시 0 로드 실패 시 1
Solver,active_mode,yes,downstroke upstroke relief 중 활성 해석 모드
Solver,supply_path,yes,활성 모드의 공급 경로 셀 목록
Solver,return_path,yes,활성 모드의 복귀 경로 셀 목록
Solver,calculated_flow_rate_L_min,yes,계산된 유량 L/min
Solver,calculated_flow_rate_m3_h,yes,계산된 유량 m3/h
Fluid,temperature_c,yes,계산에 적용된 유압유 온도
Fluid,temperature_corrected_viscosity_pa_s,yes,온도 보정 후 계산에 사용된 점도
Node,head_m,yes,각 노드의 계산 총수두
Node,pressure_bar_g,yes,각 노드의 계산 게이지 압력
Node,pressure_bar_abs,yes,각 노드의 계산 절대압
Node,elevation_m,yes,각 노드의 고도
Cell,active,yes,현재 모드에서 활성화된 셀 여부
Cell,flow_direction,yes,현재 모드의 실제 흐름 방향 forward reverse inactive
Cell,active_from_node,yes,현재 모드에서 실제 유체가 들어오는 노드
Cell,active_to_node,yes,현재 모드에서 실제 유체가 나가는 노드
Cell,flow_rate_L_min,yes,셀별 유량
Cell,velocity_m_s,yes,파이프/밸브 셀별 유속
Cell,reynolds_number,yes,파이프/밸브 셀별 Reynolds 수
Cell,flow_regime,yes,laminar transition turbulent 유동 상태
Cell,friction_factor,yes,Darcy 마찰계수
Cell,friction_head_loss_m,yes,파이프 셀 마찰 손실수두
Cell,local_head_loss_m,yes,파이프/밸브 셀 국부 손실수두
Cell,total_head_loss_m,yes,셀별 총 손실수두
Cell,pressure_loss_bar,yes,셀별 압력손실
Cell,kv_effective_m3_h,yes,밸브 개도율이 반영된 유효 Kv m3/h
Cell,pump_head_m,yes,펌프 셀 양정
Cell,pump_delta_pressure_bar,yes,펌프 셀 차압
Cell,elevation_change_m,yes,셀 정의 from-to 노드 고도차
Cell,static_pressure_change_bar,yes,셀 정의 고도차 기준 정수압 변화
Pump,npsh_available_m,yes,펌프 흡입구 기준 간이 NPSH available
Relief,relief_open,yes,P포트 압력과 릴리프 설정압 비교 결과
