"timestamp","sample_index","cycle_id","cycle_second","total_cycle_time_s","down_time_s","pressure_hold_time_s","rise_time_s","cycle_phase","cycle_type","relief_event","System.active_mode","Press.target_pressure_bar_g","Press.target_chamber","Fluid.temperature_c","Node.N_CYL_CAP.pressure_bar_g","Node.N_CYL_ROD.pressure_bar_g","Node.N_TANK_SUCTION.pressure_bar_g","Node.N_TANK_RETURN.pressure_bar_g","Node.N_TANK_RELIEF.pressure_bar_g","Cell.PUMP_01.is_running","Cell.PUMP_01.rpm","Cell.PUMP_01.rated_rpm","Cell.V_DIR_PA.opening_percent","Cell.V_DIR_PB.opening_percent","Cell.V_DIR_AT.opening_percent","Cell.V_DIR_BT.opening_percent","Cell.V_RELIEF.opening_percent","Cell.V_RELIEF.set_pressure_bar_g","field_data_note","fault_class","severity_level","onset_type","fault_severity"
"2027-01-04 08:00:00","1","1","0","16","8","2","6","downstroke","normal","no","downstroke","168.585","cap","40.175","167.791","7.485","0","0.0488","0","yes","1626","1800","66.308","0","0","65.416","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:01","2","1","1","16","8","2","6","downstroke","normal","no","downstroke","171.435","cap","40.152","169.743","7.626","0","0.0224","0","yes","1677","1800","68.037","0","0","68.217","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:02","3","1","2","16","8","2","6","downstroke","normal","no","downstroke","176.607","cap","40.131","175.028","8.349","0","0.0001","0.0002","yes","1697","1800","71.257","0","0","72.844","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:03","4","1","3","16","8","2","6","downstroke","normal","no","downstroke","178.982","cap","40.14","179.928","8.458","0","0","0.0056","yes","1728","1800","72.992","0","0","75.516","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:04","5","1","4","16","8","2","6","downstroke","normal","no","downstroke","184.011","cap","40.072","182.258","8.817","0","0.0308","0.0087","yes","1766","1800","77.639","0","0","77.378","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:05","6","1","5","16","8","2","6","downstroke","normal","no","downstroke","187.145","cap","40.099","189.745","9.853","0","0","0","yes","1784","1800","78.827","0","0","80.632","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:06","7","1","6","16","8","2","6","downstroke","normal","no","downstroke","191.443","cap","40.117","190.344","9.015","0","0.0125","0","yes","1835","1800","82.708","0","0","84.074","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:07","8","1","7","16","8","2","6","downstroke","normal","no","downstroke","194.418","cap","40.047","193.29","9.432","0","0","0","yes","1860","1800","86.243","0","0","86.602","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:08","9","1","8","16","8","2","6","pressure_hold","normal","no","pressure_hold","216.809","cap","40.094","217.187","8.128","0","0.0263","0.0015","yes","1163","1800","0","0","0","0","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:09","10","1","9","16","8","2","6","pressure_hold","normal","no","pressure_hold","220.603","cap","40.088","220.777","7.683","0","0.0331","0","yes","1115","1800","0","0","0","0","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:10","11","1","10","16","8","2","6","upstroke","normal","no","upstroke","124.587","rod","40.09","14.066","124.246","0","0.0034","0.002","yes","1451","1800","0","65.906","66.956","0","0","250.77","normal_operation","normal","none","normal","0"
"2027-01-04 08:00:11","12","1","11","16","8","2","6","upstroke","normal","no","upstroke","126.97","rod","40.16","13.154","127.492","0","0.0284","0.0054","yes","1491","1800","0","69.515","70.216","0","0","250.77","normal_operation","normal","none","normal","0"
