,relief,normal
Node.N_TANK_RELIEF.pressure_bar_g,143744.64344894412,0.113946631010123
rise_time_s,32650.85847566934,0.32694590549401714
V_RELIEF_pressure_loss_bar,29730.950985827072,7.828555189196616e-05
down_time_s,26471.067014824275,0.2752350672179487
Cell.V_RELIEF.set_pressure_bar_g,11648.135040680847,0.3127017542253759
Cell.V_RELIEF.opening_percent,2665.84491927129,3.88750589097451e-05
Fluid.temperature_c,1427.7391238755995,0.17800966085317824
C_SUCTION_pressure_loss_bar,960.9654884398605,0.0013736160214694244
C_PRESSURE_velocity_m_s,718.7055579033075,0.0013837851424380254
C_RETURN_velocity_m_s,601.1689641411323,0.0011955782594539341
C_A_LINE_pressure_loss_bar,554.9099970608258,0.001798265310759492
C_B_LINE_velocity_m_s,536.4235225951791,0.0012319580587796949
C_PRESSURE_pressure_loss_bar,535.5227346797374,0.0013412445453338917
hydraulic_power_kW,514.530223446222,0.0015482049544287358
C_SUCTION_velocity_m_s,512.5095063576,0.001411471633606543
Press.target_pressure_bar_g,399.8548594449268,0.003790024267609097
C_RETURN_pressure_loss_bar,379.94608830593484,0.0016521886487749539
C_A_LINE_velocity_m_s,377.1370782781353,0.0012630192543873614
N_VALVE_A_pressure_bar_g,342.0941618262141,0.000641762507213039
calculated_flow_rate_L_min,310.0119330176518,0.0011951424359834706
