,relief,normal
Node.N_TANK_RETURN.pressure_bar_g,104.51422444241206,0.00013138189687416087
N_VALVE_T_pressure_bar_g,22.265413016901547,0.0002003349571559536
Press.target_pressure_bar_g,8.527067136666092,0.0011562263321613264
Fluid.temperature_c,7.8895735759920385,8.219825198132788e-05
load_pressure_bar_g,7.267960855127627,0.001037377437182517
rise_time_s,5.900855328398073,0.0001502476390897144
target_pressure_error_bar,4.281281466694986,2.0354958347964525e-05
N_CYL_CAP_pressure_bar_g,3.2715902876907705,7.536289005516168e-05
Node.N_CYL_CAP.pressure_bar_g,2.9073827002983386,0.0002087854231227668
phase_pressure_hold,2.724593400783379,0.00010616345958458205
pressure_hold_time_s,2.551809587097339,0.00014608325480973319
C_PRESSURE_pressure_loss_bar,2.3528228977290575,0.000350873408907547
N_VALVE_A_pressure_bar_g,2.3096895647188553,7.942265254911339e-05
C_PRESSURE_velocity_m_s,2.211504756577802,9.372400477875992e-05
C_SUCTION_pressure_loss_bar,2.1983052102686083,0.00021619674249232502
calculated_flow_rate_m3_h,1.988764320774042,0.00011485792133765293
V_DIR_PB_Kv_effective_m3_h,1.9580904795771241,0.00026931926682675824
C_B_LINE_pressure_loss_bar,1.8879540521775553,0.0002585315323619056
C_SUCTION_velocity_m_s,1.8029479603818357,0.00011466817676848366
total_cycle_time_s,1.703492783797088,0.0001457946489515775
