,late_downstroke_overpressure_relief,pressure_hold_overpressure_relief
Node.N_TANK_RETURN.pressure_bar_g,2.7509965378305186,3.862006848411901
load_pressure_bar_g,0.16733728203436601,0.18556555320641824
Press.target_pressure_bar_g,0.15709610510131586,0.18930733403457062
target_pressure_error_bar,0.2167031488556793,0.09285789919541847
N_VALVE_T_pressure_bar_g,0.18082809728988702,0.13321678406958068
C_B_LINE_velocity_m_s,0.10743891202129316,0.0774542196055076
C_B_LINE_pressure_loss_bar,0.11772261678740598,0.021031517272872082
Fluid.temperature_c,0.05847744202549001,0.07415626842989045
C_A_LINE_velocity_m_s,0.055839601566718106,0.06429021735675633
N_CYL_CAP_pressure_bar_g,0.044481893312995846,0.07721526235608119
Cell.PUMP_01.rpm,0.0723873639776223,0.042488213329176815
C_A_LINE_pressure_loss_bar,0.09814041210473448,0.010177147107762201
C_RETURN_velocity_m_s,0.06724477605894208,0.04419259932650935
N_VALVE_A_pressure_bar_g,0.04687729997533387,0.06298482976853848
pressure_hold_time_s,0.020967746571894142,0.08974039471442145
