"timestamp","cycle_id","cycle_second","total_cycle_time_s","down_time_s","pressure_hold_time_s","rise_time_s","cycle_phase","System.active_mode","Press.target_pressure_bar_g","Press.target_chamber","Fluid.temperature_c","Node.N_CYL_CAP.pressure_bar_g","Node.N_CYL_ROD.pressure_bar_g","Node.N_TANK_SUCTION.pressure_bar_g","Node.N_TANK_RETURN.pressure_bar_g","Cell.PUMP_01.is_running","Cell.PUMP_01.rpm","Cell.PUMP_01.rated_rpm","Cell.V_DIR_PA.opening_percent","Cell.V_DIR_PB.opening_percent","Cell.V_DIR_AT.opening_percent","Cell.V_DIR_BT.opening_percent","Cell.V_RELIEF.opening_percent","Cell.V_RELIEF.set_pressure_bar_g","input_note"
"2026-07-09 13:00:00","1","0","14","7","1","6","하강","downstroke","170.3","cap","40","170.3","8","0","0","yes","1605","1800","65","0","0","65","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:01","1","1","14","7","1","6","하강","downstroke","174.967","cap","40.002","174.967","8.167","0","0","yes","1638","1800","68.3","0","0","68.3","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:02","1","2","14","7","1","6","하강","downstroke","179.633","cap","40.003","179.633","8.333","0","0","yes","1672","1800","71.7","0","0","71.7","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:03","1","3","14","7","1","6","하강","downstroke","184.3","cap","40.004","184.3","8.5","0","0","yes","1705","1800","75","0","0","75","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:04","1","4","14","7","1","6","하강","downstroke","188.967","cap","40.006","188.967","8.667","0","0","yes","1738","1800","78.3","0","0","78.3","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:05","1","5","14","7","1","6","하강","downstroke","193.633","cap","40.008","193.633","8.833","0","0","yes","1772","1800","81.7","0","0","81.7","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:06","1","6","14","7","1","6","하강","downstroke","198.3","cap","40.009","198.3","9","0","0","yes","1805","1800","85","0","0","85","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:07","1","7","14","7","1","6","가압유지","pressure_hold","225.3","cap","40.01","225.3","8","0","0","yes","1108","1800","20","0","0","20","0","250","final_normal_pressure_hold_input"
"2026-07-09 13:00:08","1","8","14","7","1","6","상승","upstroke","125.3","rod","40.012","8","125.3","0","0","yes","1404","1800","0","65","65","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:09","1","9","14","7","1","6","상승","upstroke","127.9","rod","40.014","8","127.9","0","0","yes","1444","1800","0","69","69","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:10","1","10","14","7","1","6","상승","upstroke","130.5","rod","40.015","8","130.5","0","0","yes","1484","1800","0","73","73","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:11","1","11","14","7","1","6","상승","upstroke","133.1","rod","40.016","8","133.1","0","0","yes","1524","1800","0","77","77","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:12","1","12","14","7","1","6","상승","upstroke","135.7","rod","40.018","8","135.7","0","0","yes","1564","1800","0","81","81","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:13","1","13","14","7","1","6","상승","upstroke","138.3","rod","40.02","8","138.3","0","0","yes","1604","1800","0","85","85","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:14","2","0","16","8","1","7","하강","downstroke","170.6","cap","40.01","170.6","8","0","0","yes","1610","1800","65","0","0","65","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:15","2","1","16","8","1","7","하강","downstroke","174.6","cap","40.012","174.6","8.143","0","0","yes","1639","1800","67.9","0","0","67.9","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:16","2","2","16","8","1","7","하강","downstroke","178.6","cap","40.013","178.6","8.286","0","0","yes","1667","1800","70.7","0","0","70.7","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:17","2","3","16","8","1","7","하강","downstroke","182.6","cap","40.014","182.6","8.429","0","0","yes","1696","1800","73.6","0","0","73.6","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:18","2","4","16","8","1","7","하강","downstroke","186.6","cap","40.016","186.6","8.571","0","0","yes","1724","1800","76.4","0","0","76.4","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:19","2","5","16","8","1","7","하강","downstroke","190.6","cap","40.018","190.6","8.714","0","0","yes","1753","1800","79.3","0","0","79.3","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:20","2","6","16","8","1","7","하강","downstroke","194.6","cap","40.019","194.6","8.857","0","0","yes","1781","1800","82.1","0","0","82.1","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:21","2","7","16","8","1","7","하강","downstroke","198.6","cap","40.02","198.6","9","0","0","yes","1810","1800","85","0","0","85","0","250","final_normal_downstroke_input"
"2026-07-09 13:00:22","2","8","16","8","1","7","가압유지","pressure_hold","225.6","cap","40.022","225.6","8","0","0","yes","1116","1800","20","0","0","20","0","250","final_normal_pressure_hold_input"
"2026-07-09 13:00:23","2","9","16","8","1","7","상승","upstroke","125.6","rod","40.024","8","125.6","0","0","yes","1408","1800","0","65","65","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:24","2","10","16","8","1","7","상승","upstroke","127.767","rod","40.025","8","127.767","0","0","yes","1441","1800","0","68.3","68.3","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:25","2","11","16","8","1","7","상승","upstroke","129.933","rod","40.026","8","129.933","0","0","yes","1475","1800","0","71.7","71.7","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:26","2","12","16","8","1","7","상승","upstroke","132.1","rod","40.028","8","132.1","0","0","yes","1508","1800","0","75","75","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:27","2","13","16","8","1","7","상승","upstroke","134.267","rod","40.03","8","134.267","0","0","yes","1541","1800","0","78.3","78.3","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:28","2","14","16","8","1","7","상승","upstroke","136.433","rod","40.031","8","136.433","0","0","yes","1575","1800","0","81.7","81.7","0","0","250","final_normal_upstroke_input"
"2026-07-09 13:00:29","2","15","16","8","1","7","상승","upstroke","138.6","rod","40.032","8","138.6","0","0","yes","1608","1800","0","85","85","0","0","250","final_normal_upstroke_input"
