"timestamp","sample_index","cycle_id","cycle_second","total_cycle_time_s","down_time_s","pressure_hold_time_s","rise_time_s","cycle_phase","cycle_type","relief_event","System.active_mode","Press.target_pressure_bar_g","Press.target_chamber","Fluid.temperature_c","Node.N_CYL_CAP.pressure_bar_g","Node.N_CYL_ROD.pressure_bar_g","Node.N_TANK_SUCTION.pressure_bar_g","Node.N_TANK_RETURN.pressure_bar_g","Node.N_TANK_RELIEF.pressure_bar_g","Cell.PUMP_01.is_running","Cell.PUMP_01.rpm","Cell.PUMP_01.rated_rpm","Cell.V_DIR_PA.opening_percent","Cell.V_DIR_PB.opening_percent","Cell.V_DIR_AT.opening_percent","Cell.V_DIR_BT.opening_percent","Cell.V_RELIEF.opening_percent","Cell.V_RELIEF.set_pressure_bar_g","field_data_note"
"2026-07-13 08:00:00","1","1","0","15","6","2","7","downstroke","normal","no","downstroke","174.155","cap","38.517","172.513","7.638","0","0.0264","0.0011","yes","1623","1800","66.521","0","0","67.241","0","249.684","normal_operation"
"2026-07-13 08:00:01","2","1","1","15","6","2","7","downstroke","normal","no","downstroke","178.679","cap","38.445","180.195","7.893","0","0.0181","0.0005","yes","1662","1800","70.759","0","0","68.651","0","249.684","normal_operation"
"2026-07-13 08:00:02","3","1","2","15","6","2","7","downstroke","normal","no","downstroke","182.045","cap","38.542","180.026","8.567","0","0.0146","0.0063","yes","1691","1800","74.905","0","0","74.262","0","249.684","normal_operation"
"2026-07-13 08:00:03","4","1","3","15","6","2","7","downstroke","normal","no","downstroke","188.53","cap","38.468","187.851","8.674","0","0.0347","0.0003","yes","1742","1800","79.787","0","0","80.297","0","249.684","normal_operation"
"2026-07-13 08:00:04","5","1","4","15","6","2","7","downstroke","normal","no","downstroke","193.984","cap","38.551","194.424","9.348","0","0","0.0052","yes","1782","1800","81.923","0","0","81.765","0","249.684","normal_operation"
"2026-07-13 08:00:05","6","1","5","15","6","2","7","downstroke","normal","no","downstroke","199.357","cap","38.547","199.394","10.045","0","0.0362","0.0082","yes","1816","1800","86.575","0","0","85.541","0","249.684","normal_operation"
"2026-07-13 08:00:06","7","1","6","15","6","2","7","pressure_hold","normal","no","pressure_hold","221.124","cap","38.499","219.888","7.971","0","0","0.0108","yes","1145","1800","0","0","0","0","0","249.684","normal_operation"
"2026-07-13 08:00:07","8","1","7","15","6","2","7","pressure_hold","normal","no","pressure_hold","224.631","cap","38.533","225.439","7.854","0","0","0.001","yes","1114","1800","0","0","0","0","0","249.684","normal_operation"
"2026-07-13 08:00:08","9","1","8","15","6","2","7","upstroke","normal","no","upstroke","126.113","rod","38.479","13.961","125.212","0","0.0062","0.0011","yes","1422","1800","0","65.71","67.557","0","0","249.684","normal_operation"
"2026-07-13 08:00:09","10","1","9","15","6","2","7","upstroke","normal","no","upstroke","128.679","rod","38.498","14.341","127.828","0","0.0362","0.0005","yes","1462","1800","0","68.448","71.207","0","0","249.684","normal_operation"
"2026-07-13 08:00:10","11","1","10","15","6","2","7","upstroke","normal","no","upstroke","133.268","rod","38.595","13.293","134.015","0","0","0.0065","yes","1483","1800","0","70.415","73.637","0","0","249.684","normal_operation"
"2026-07-13 08:00:11","12","1","11","15","6","2","7","upstroke","normal","no","upstroke","134.102","rod","38.602","13.816","135.894","0","0.0046","0","yes","1530","1800","0","76.43","75.664","0","0","249.684","normal_operation"
"2026-07-13 08:00:12","13","1","12","15","6","2","7","upstroke","normal","no","upstroke","136.05","rod","38.499","12.074","137.014","0","0","0.0003","yes","1559","1800","0","79.187","80.185","0","0","249.684","normal_operation"
"2026-07-13 08:00:13","14","1","13","15","6","2","7","upstroke","normal","no","upstroke","136.451","rod","38.537","12.32","136.111","0","0.0315","0","yes","1588","1800","0","83.128","82.589","0","0","249.684","normal_operation"
"2026-07-13 08:00:14","15","1","14","15","6","2","7","upstroke","normal","no","upstroke","141.285","rod","38.628","10.72","141.292","0","0.0219","0.0056","yes","1648","1800","0","85.117","85.264","0","0","249.684","normal_operation"
"2026-07-13 08:00:15","16","2","0","14","8","1","5","downstroke","normal","no","downstroke","172.308","cap","38.57","170.409","7.735","0","0.0141","0","yes","1616","1800","65.316","0","0","65.406","0","250.245","normal_operation"
"2026-07-13 08:00:16","17","2","1","14","8","1","5","downstroke","normal","no","downstroke","176.415","cap","38.448","177.388","8.119","0","0.0046","0.0049","yes","1643","1800","67.652","0","0","68.857","0","250.245","normal_operation"
"2026-07-13 08:00:17","18","2","2","14","8","1","5","downstroke","normal","no","downstroke","179.299","cap","38.547","176.543","7.968","0","0","0.0045","yes","1678","1800","70.426","0","0","71.511","0","250.245","normal_operation"
